step,time,x,y,theta,v,omega,s_progress,active_segment,remaining_tasks,cost
0,0.0,5.781559717962283,0.978130412703105,0.1312060234040336,0.8625753400730163,0.12958467027285267,0.0,0,4,-14.61798509681223
1,0.2,6.008344920012814,1.0080579289178215,0.16167958597260634,1.1437567933774422,0.15236781284286371,0.4975983858489845,0,4,-18.19562104533709
2,0.4,6.202870272509393,1.0397856475914058,0.20421035472893465,0.9854790826819757,0.2126538437816415,0.4975983858489845,0,4,-13.775906811968664
3,0.6,6.429156708126712,1.0866489279477287,0.25932128596337295,1.1554405868557922,0.27555465617219155,0.9190470725457691,0,4,-16.561500715113926
4,0.8,6.6415925428670635,1.143007077408793,0.34030046475320014,1.0989224823947505,0.40489589394913594,0.9190470725457691,0,4,-14.40845574918464
5,1.0,6.867829604112867,1.2231119594002346,0.44461842415480235,1.2,0.521589797008011,1.274584654124517,0,4,-18.28337876037039
6,1.2,7.084495568595634,1.3263391836908842,0.571727265364457,1.2,0.635544206048273,1.5749734368538586,0,4,-16.018913329033982
7,1.4,7.286327800274632,1.4561996867527276,0.7311888672631704,1.2,0.7973080094935673,1.8314163707183566,0,4,-15.524676330452724
8,1.6,7.46162525197948,1.6134521616019422,0.8977833467163714,1.1774712036862736,0.8329723972660048,2.05515635128727,0,4,-15.19389106325073
9,1.8,7.605091943106006,1.7934221578309744,1.0701202937724794,1.1507811586643197,0.8616847352805407,2.2566171541120985,0,4,-15.401975995947696
10,2.0,7.715086327289364,1.994442411088372,1.2106620078664392,1.14573019044128,0.7027085704697984,2.444250140501647,0,4,-16.44531219328778
11,2.2,7.796747780114559,2.2113063240435875,1.3131608694560122,1.1586473753883109,0.5124943079478648,2.797335934377483,0,4,-15.483475416945067
12,2.4,7.852835080802489,2.4241684209514744,1.3888789630727316,1.100636833820322,0.378590468083597,2.965374035216795,0,4,-14.461739295051867
13,2.6,7.894113931248931,2.6485696657467614,1.4348091625992254,1.1408315186723894,0.2296509976324694,3.1261240927605716,0,4,-15.071460700502893
14,2.8,7.9261678983145645,2.8828280764121543,1.4562389487151919,1.1822061978787852,0.10714893057983241,3.422842960429801,0,4,-16.303452773369287
15,3.0,7.951985642785807,3.107210889355807,1.461858689971476,1.129316194363746,0.028098706281421,3.6942945352201715,0,4,-15.601785779128189
16,3.2,7.975824117871004,3.3251713736975765,1.459213202051786,1.0963011177236657,-0.013227439598450451,3.8237758249752685,0,4,-15.396639132823939
17,3.4,8.00248021649337,3.5630691461786084,1.453838675156478,1.1969325142338014,-0.026872634476540206,4.0766986465053385,0,4,-17.24498578345403
18,3.6,8.03048610166163,3.8014295254280595,1.450052219676548,1.2,-0.018932277399650026,4.330152048781224,0,4,-16.951130800188775
19,3.8,8.059394324874061,4.0396821531799905,1.4505923824160392,1.2,0.0027008136974561547,4.59442500307168,0,4,-16.92135825161205
20,4.0,8.088173848683294,4.277950361318034,1.4563219388660715,1.2,0.02864778225016153,4.878623172134319,0,4,-15.433300267085219
21,4.2,8.11452663233922,4.507150718660801,1.4716342455646496,1.1535518303534151,0.07656153349289027,5.02767770403979,0,4,-15.140348739353223
22,4.4,8.13710754227584,4.734121023300464,1.5557520063141266,1.1404540398651215,0.4205888037473846,5.333397708934583,0,4,-15.05803395341646
23,4.6,8.140612507443691,4.967079417150169,1.7651331693703767,1.1649237962830656,1.04690581528125,5.4875675646226885,0,4,-13.228916249641033
24,4.8,8.097943802154381,5.183868955376761,1.6563921195401392,1.1047434350966407,-0.5437052491511871,5.792542201554085,0,4,-14.694736082054419
25,5.0,8.07751261786099,5.421979520649078,1.663504160192727,1.1949275562344008,0.0355602032629385,5.941105490974303,0,4,-15.26709458277592
26,5.2,8.055294596149494,5.660948890048647,1.743738415594299,1.2,0.4011712770078606,6.225390317074812,0,4,-16.915758076231896
27,5.4,8.013995086411184,5.897368750668213,1.8795841812029057,1.2,0.6792288280430336,6.487511729727588,0,4,-15.943230567235874
28,5.6,7.941058115448834,6.126017385623328,2.071546305581515,1.2,0.9598106218930458,6.727833657684256,0,4,-16.411688265673376
29,5.8,7.825838058164844,6.336550847095546,2.2692148737852507,1.2,0.9883428410186791,6.955468349079661,0,4,-16.17950446747709
30,6.0,7.671516301323829,6.520357254398182,2.4695412783590593,1.2,1.0016320228690427,7.29791247242818,0,4,-17.752767629461967
31,6.2,7.483705227175034,6.66977947639704,2.640173677432724,1.2,0.8531619953683223,7.543216807816597,0,4,-15.55118630751378
32,6.4,7.273248894725324,6.785140354218843,2.7768848432321462,1.2,0.6835558289971122,7.813157192580855,0,4,-15.350586288508618
33,6.6,7.049034170363426,6.870742675328252,2.88179004782805,1.2,0.5245260229795191,7.959814792094285,0,4,-14.279131055929522
34,6.8,6.817088401037078,6.9323962242253625,2.9581461734611025,1.2,0.38178062816526287,8.285889142987624,0,4,-16.431848212300405
35,7.0,6.592330921394043,6.974096014507771,3.011296754798903,1.1429654102933968,0.2657529066890037,8.470004650644949,0,4,-14.683933782484477
36,7.2,6.368128484879491,7.003475117510618,3.047259331225296,1.130595686268017,0.17981288213196367,8.671135796194303,0,4,-14.837099126818242
37,7.4,6.129195546317254,7.0260815517720046,3.0695930037605885,1.2,0.11166836267646298,8.891402236491096,0,4,-16.173654008527095
38,7.6,5.889817351579418,7.04334654189811,3.082579674869617,1.2,0.0649333555451431,9.132864128533193,0,4,-15.60133250107974
39,7.8,5.65023513411212,7.057501437639592,3.0895946752579286,1.2,0.03507500194155692,9.397539047656924,0,4,-14.237100223296723
40,8.0,5.410559515783991,7.069975329535416,3.092018181397376,1.2,0.012117530697237363,9.687415727989134,0,4,-14.079686608688423
41,8.2,5.170854370784749,7.0818683300353955,3.092280501764718,1.2,0.0013116018367091225,10.00446460128937,0,4,-11.597037364487905
42,8.4,4.936066174103028,7.0934556349978894,3.0909849258332933,1.1753697603025628,-0.0064778796571227865,10.00446460128937,0,4,-8.79263287378641
43,8.6,4.69637344556718,7.105596305780023,3.0895261572022914,1.2,-0.007293843155010012,10.350645549075864,0,4,-10.377062384340064
44,8.8,4.480682301875438,7.116836747082601,3.0881060215544016,1.0799191750743247,-0.0071006782394480135,0.0,1,3,-5.667999757332156
45,9.0,4.456664223394928,7.118122619658993,2.7290047995497764,0.12026237588899501,-1.7955061100231269,0.0,1,3,-7.325022830036157
46,9.2,4.3289000296119715,7.17404646209067,2.394172897350358,0.6973371739218392,-1.6741595109970913,0.0,1,3,-10.284697618505922
47,9.4,4.175712631976094,7.316018771610369,2.0590644970294987,1.0443001898976354,-1.675542001604298,0.4137356850212974,1,3,-14.806468338804983
