step,time,x,y,theta,v,omega,s_progress,active_segment,remaining_tasks,cost
0,0.0,1.5126155127220087,5.3016376084175985,-1.32936381726315,1.186108002350735,0.30403816949911977,0.20442970326289336,0,4,-15.64448699893676
1,0.2,1.5631827306664594,5.096276435509547,-1.363297036442581,1.0574764166260666,-0.16966609589715548,0.3923484325026044,0,4,-15.57803826412657
2,0.4,1.6116025988287666,4.866285557289742,-1.381460960286833,1.17516262382247,-0.09081961922126057,0.7246441937094847,0,4,-16.429454320803693
3,0.6,1.6530030659087034,4.650242589903687,-1.388266063212825,1.0998700199501836,-0.03402551462996001,0.8720170755752132,0,4,-14.136999412109216
4,0.8,1.6953925665147267,4.420594733462343,-1.3865316095365963,1.167636584406,0.008672268381143686,1.1367030410496266,0,4,-15.427442867571505
5,1.0,1.7369772674715904,4.197475602208825,-1.3765437559884874,1.1348065262964024,0.049939267740544364,1.3712964006312085,0,4,-14.825613962601485
6,1.2,1.7815306344274184,3.9710098272586913,-1.3486247287426554,1.1540336837682124,0.13959513622916064,1.5877802329386277,0,4,-15.58072366191978
7,1.4,1.8343368313614992,3.737251403652698,-1.1477826132077595,1.1982434544094118,1.0042105776744796,1.7976148347469625,0,4,-14.489045881844836
8,1.6,1.9328593239307459,3.51840598227509,-1.0785585587000124,1.2,0.34612027253873573,2.1062843271803158,0,4,-15.594179171164988
9,1.8,2.039452354364581,3.3196370332405714,-1.1193011351161963,1.1277318967440304,-0.20371288208091995,2.3053711707678413,0,4,-13.700802048383972
10,2.0,2.1441670875854166,3.103686055825582,-0.9940680621826542,1.2,0.6261653646677108,2.592258232232941,0,4,-14.264025273778437
11,2.2,2.2704703558692905,2.9095233844245656,-0.7256817259422998,1.1581413832599123,1.3419316812017716,2.7778648339952325,0,4,-15.512401414020415
12,2.4,2.4447848222222213,2.754876690931467,-0.45715516377465276,1.1651301750046583,1.3426328108382355,3.056314302052093,0,4,-16.11719354822056
13,2.6,2.6524741001663057,2.6527121357162073,-0.10220144764482358,1.157285968497707,1.7747685806491458,3.329744785740741,0,4,-15.750361195763398
14,2.8,2.8667861380575843,2.630732555286036,0.21811453894992255,1.077180945117847,1.6015799329737306,3.5868806080084883,0,4,-16.034584128747838
15,3.0,3.1010998607540112,2.682665968000222,0.4890603988583949,1.2,1.3547292995423617,3.9105619817620973,0,4,-15.518509602000925
16,3.2,3.2709428449061813,2.7730533181952324,0.8490603988583949,0.961983788077919,1.8,4.084163248419887,0,4,-13.376902311883027
17,3.4,3.4295081469160156,2.953211706838476,0.9869352171903427,1.2,0.689374091659739,4.37713115102159,0,4,-15.925727762193594
18,3.6,3.5555293624803723,3.1439503705753804,1.066342781831509,1.1430505743017014,0.39703782320583103,4.587828542296818,0,4,-15.081266003535697
19,3.8,3.6679204584514205,3.3475208001142995,1.0989924493751089,1.1626766342822206,0.16324833771799907,4.801140179325166,0,4,-14.78914811306099
20,4.0,3.77512314203591,3.557624375711765,1.0953320365986954,1.17936347076035,-0.018302063882067104,5.007517769416223,0,4,-14.384188589158274
21,4.2,3.884983451099067,3.7710036448373,1.0727693138567622,1.2,-0.11281361370966574,5.292305870913464,0,4,-13.739274570562621
22,4.4,3.99573724637287,3.974691247864369,1.0481664343005772,1.1592566885127769,-0.12301439778092484,5.47466572424582,0,4,-11.07293775861528
23,4.6,4.10831403963488,4.170117002097209,1.0288320692060846,1.127660851038908,-0.09667182547246324,5.757514738629925,0,4,-9.67630617553572
24,4.8,4.211974556449809,4.342281146264118,0.9846953600297621,1.0048133568362614,-0.22068354588161282,5.963607037660601,0,4,-6.071698689878942
25,5.0,4.2773102942600865,4.440689704310424,0.991661869996846,0.5906141492541165,0.03483254983541936,0.0,1,3,-3.3505664011395857
26,5.2,4.325095650754489,4.513763588085126,0.6316618699968459,0.4365556317703348,-1.8,0.0,1,3,-9.35484160514298
27,5.4,4.469406281986685,4.619350359595617,0.2814163819408839,0.8940654982248722,-1.75122744027981,0.0,1,3,-12.262894963001449
28,5.6,4.699965413815589,4.6860023417889645,0.0762561879754314,1.2,-1.0258009698272625,0.6712782567340291,1,3,-16.16706267856234
29,5.8,4.939267951148478,4.704286094851204,-0.02237508266710861,1.2,-0.49315635321270007,0.6712782567340291,1,3,-10.0268137147983
30,6.0,5.1649749163407686,4.6992350398910165,-0.06694290403485058,1.1288173821806247,-0.22283910683870983,0.6712782567340291,1,3,-12.233704648686494
31,6.2,5.404437354847891,4.683180740023923,-0.05436242168221781,1.2,0.06290241176316383,1.2488534749512614,1,3,-18.517237002472747
32,6.4,5.6440828094287285,4.670140184102338,-0.025490775137804893,1.2,0.14435823272206458,1.2488534749512614,1,3,-13.591388205920024
33,6.6,5.8840048400967175,4.664023060583184,0.011614021729618673,1.2,0.18552398433711784,1.7408011030239627,1,3,-17.562000128397976
34,6.8,6.12398865401857,4.6668103631361895,0.054411564989669585,1.2,0.21398771630025454,1.7408011030239627,1,3,-13.225164949644359
35,7.0,6.363633467453979,4.679862696012277,0.10342886839670054,1.2,0.24508651703515477,2.15534563219857,1,3,-16.80617113822803
36,7.2,6.5985539651716065,4.704247270909274,0.16168727829582738,1.1809132878921005,0.2912920494956342,2.15534563219857,1,3,-13.478877816751446
37,7.4,6.8354236605504965,4.742883360399694,0.24149657434883165,1.2,0.39904648026502126,2.5009343399474226,1,3,-17.508499443885785
38,7.6,7.068459135965362,4.800280809804414,0.3521939661205265,1.2,0.5534869588584742,2.786345674805938,1,3,-15.822368566721204
39,7.8,7.293727491113394,4.8830707135904445,0.5018528554006567,1.2,0.7482944464006511,3.020834601295446,1,3,-14.700497554497508
40,8.0,7.4788438497249645,4.984646052105996,0.6608813673001654,1.0557653103336517,0.7951425594975434,3.214280116188995,1,3,-14.656687089460691
41,8.2,7.668312220185741,5.131961145001931,0.8622076929662955,1.2,1.0066316283306502,3.520292344269248,1,3,-16.52852295621396
42,8.4,7.808642958151781,5.295692810784239,1.0403860822812476,1.0782019105661802,0.8908919465747601,3.6534161548625224,1,3,-14.310158092446555
43,8.6,7.924922812717157,5.4939641738308325,1.2044368968914352,1.1492664832633375,0.8202540730509377,3.917065518101159,1,3,-15.531004752287943
44,8.8,8.007184925217533,5.708366647589752,1.3392581786365898,1.1482103020240786,0.6741064087257728,4.190001921128506,1,3,-14.892277047444109
45,9.0,8.057877495906181,5.923378480793663,1.4547393770543484,1.1045341228401442,0.5774059920887932,4.3296757744563426,1,3,-13.737194351019172
46,9.2,8.085668678097422,6.1617639883070465,1.5391380826405061,1.2,0.4219935279307888,4.61256909764502,1,3,-16.13852777099409
47,9.4,8.092156147979148,6.366617496978261,1.6028434003391812,1.0247810410079534,0.3185265884933751,4.754168162476544,1,3,-15.002595355828202
48,9.6,8.08451963335042,6.6048264606664855,1.657031557243159,1.1916566906736696,0.2709407845198896,5.032820055202274,1,3,-16.637777674156283
49,9.8,8.063848820089895,6.843934631750513,1.7038860301723064,1.2,0.2342723646457369,5.298088153701364,1,3,-15.024467880387933
50,10.0,8.057950000397678,6.887994765676305,1.8317707138340151,0.22226625223592028,0.639423418308543,5.298088153701364,1,3,-0.0997262828398589
51,10.2,8.048963470996796,6.921643967937617,1.8199977286422881,0.17414265154576355,-0.05886492595863451,5.422787212780811,1,3,-0.05653302017095829
52,10.4,8.017676988031692,7.044581244043048,1.7973328848078785,0.6342794705914127,-0.11332421917204871,5.5413374121739105,1,3,-0.3031513379362034
53,10.6,7.991031392948862,7.160183871089739,1.8015568258857233,0.5931685072012534,0.021119705389224697,5.654242528353681,1,3,-0.4514673556472228
