step,time,x,y,theta,v,omega,s_progress,active_segment,remaining_tasks,cost
0,0.0,1.1836873375528696,10.788028883998718,-0.37649664248884646,1.2,-0.028384117576793363,0.27192598233034593,0,6,-16.188327737078502
1,0.2,1.4068773537802923,10.699789342655833,-0.38149822237632197,1.2,-0.025007899437377447,0.5170736380618235,0,6,-14.46589854141247
2,0.4,1.6251845113498402,10.612215208629262,-0.3860959290189214,1.176087199111945,-0.022988533212997236,0.7378503478161834,0,6,-13.867740309055163
3,0.6,1.82623982173381,10.530486531101126,-0.38894296904982867,1.085159142293109,-0.014235200154536174,0.9366605173756972,0,6,-14.620968587938906
4,0.8,2.048314321093111,10.439476000203236,-0.3870892960657666,1.2,0.009268364920310381,1.1159053109979356,0,6,-15.956048195839404
5,1.0,2.2705571425828124,10.348877278930269,-0.3792591758110538,1.2,0.03915060127356394,1.4252879632046989,0,6,-17.03646962999088
6,1.2,2.4935025428001447,10.260021505218408,-0.3650488219425438,1.2,0.0710517693425499,1.6851599280195204,0,6,-15.414414067099464
7,1.4,2.7176880627425737,10.174342729269268,-0.3457754201022281,1.2,0.09636700920157838,1.9147109586135078,0,6,-14.56957931143151
8,1.6,2.9321499366994948,10.097083192956589,-0.3186418905513831,1.1397689604955537,0.13566764775422516,2.132566188653144,0,6,-15.392551783370472
9,1.8,3.1437379857450187,10.027283929227233,-0.2893679100743809,1.1140179499906107,0.1463699023850111,2.3470070381866757,0,6,-15.001220962190589
10,2.0,3.3585586932331006,9.963326533199314,-0.2596793864006643,1.1206971588296275,0.14844261836858313,2.5582270595304073,0,6,-15.159806424929418
11,2.2,3.553662866453483,9.911491594303882,-0.2342054221004032,1.0093624138323918,0.12736982150130535,2.7661576767899354,0,6,-15.24000111671061
12,2.4,3.778318251790597,9.857892472870986,-0.20832873268143814,1.1548041823112862,0.12938344709482527,2.9706799555989343,0,6,-15.79604716453472
13,2.6,4.013128957605206,9.808254458861105,-0.18595510102284013,1.2,0.11186815829299009,3.2707020179004997,0,6,-16.212042334989942
14,2.8,4.248991385159271,9.763881998164143,-0.16929414481992489,1.2,0.08330478101457628,3.4662132333187703,0,6,-14.161923554211594
15,3.0,4.48556033066625,9.723445207716388,-0.15957109160649555,1.2,0.04861526606714668,3.7544366784314804,0,6,-15.244253738451166
16,3.2,4.702349652544837,9.688555261601678,-0.15580619958194075,1.0978947857202048,0.018824460122774014,3.944382527220929,0,6,-14.613723575207587
17,3.4,4.93944247219284,9.651312881557441,-0.15441312137172392,1.2,0.006965391051084194,4.227914761627487,0,6,-15.828380038252174
18,3.6,5.166882407060008,9.61591135866032,-0.15181736815854563,1.1508930423351342,0.012978766065891373,4.417143048498811,0,6,-14.747379017918645
19,3.8,5.375464459933271,9.583999428611325,-0.1464934729019022,1.0550455447547822,0.0266194762832171,4.608158215102928,0,6,-15.598433864548133
20,4.0,5.612893821588599,9.548966612225204,-0.13292724334342312,1.2,0.06783114779239541,4.903853742545576,0,6,-15.79760540481547
21,4.2,5.850729910392603,9.517164182931312,-0.10906841006327643,1.1997645565545279,0.11929416640073348,5.111159111112215,0,6,-14.618709194396315
22,4.4,6.080374684152591,9.492017398713456,-0.07536525942376412,1.155087473654869,0.16851575319756157,5.329962883194216,0,6,-15.247994016301794
23,4.6,6.308402852525735,9.474799385304488,-0.028493809887188484,1.1433864783764294,0.2343572476828782,5.563282401306832,0,6,-14.77064756303202
24,4.8,6.52641329418228,9.468585755525934,0.037973930173820905,1.0904948631963665,0.3323387003050469,5.814605649078123,0,6,-14.923617895302531
25,5.0,6.766240272650737,9.477697308559854,0.12446495540304643,1.2,0.4324551261461276,6.090292553505803,0,6,-16.21373816718131
26,5.2,7.004383688270512,9.50749183149524,0.21367218119785808,1.2,0.44603612897405814,6.240399090922901,0,6,-14.043737974585685
27,5.4,7.238925804973442,9.558383829810396,0.30269358991964795,1.2,0.4451070436089494,6.573865123216798,0,6,-15.642234380921899
28,5.6,7.466461896257136,9.629441088170578,0.3838340614162049,1.1918662551050705,0.4057023574827847,6.7614797902132375,0,6,-12.671420133535108
29,5.8,7.6809566478952584,9.716068069602944,0.45352689964509174,1.156635556175574,0.3484641911444341,6.9661695873359255,0,6,-11.643421652318708
30,6.0,7.889180282963263,9.817558847422575,0.5086221540570987,1.1582039995545614,0.2754762720600344,7.190458015185467,0,6,-9.927801476773162
31,6.2,8.077245645934033,9.92241490836962,0.545489355459608,1.0766078007642577,0.1843360070125468,7.436938048790057,0,6,-7.450965791757308
32,6.4,8.214348290893396,10.00562471101519,0.5648764364021043,0.8018884977222192,0.0969354047124817,0.0,1,5,-4.128118720771493
33,6.6,8.112989720667771,9.941387336833044,0.9248764364021043,-0.6,1.8,0.2495811658931928,1,5,6.531158247993926
34,6.8,8.040757728478694,9.84556176976247,1.2848764364021044,-0.6,1.8,0.2495811658931928,1,5,5.932142340295744
35,7.0,8.006912914588943,9.730433456247644,1.6448764364021045,-0.5999999999999999,1.8,0.4786163085025197,1,5,2.4149074461322204
36,7.2,8.011448622364131,9.6693184329533,2.000486045927662,-0.3064155151624178,1.7780480476277891,0.4786163085025197,1,5,2.780031680754713
37,7.4,7.987287309066412,9.722044125891005,2.360486045927662,0.28998998931134307,1.8,0.4786163085025197,1,5,-2.563753134591127
38,7.6,7.96026599154773,9.748834506091951,2.720486045927662,0.1902548338253647,1.8,0.4786163085025197,1,5,-6.177419567777163
39,7.8,7.810989439048888,9.815695548329698,3.0738091250097863,0.8178307907974813,1.7666153954106223,0.4786163085025197,1,5,-8.991140763298727
40,8.0,7.602639060732859,9.82983994143259,3.411876431980162,1.044149701918765,1.6903365348518806,0.688624343782712,1,5,-13.322375048056182
41,8.2,7.4191022174974846,9.778988549277393,3.6989236211208882,0.9522557023841836,1.4352359457036294,0.881125393151,1,5,-14.209780003699805
42,8.4,7.215421454762032,9.65204703955144,3.7580116977643323,1.2,0.2954403832172213,1.2196992165638338,1,5,-15.528524112849734
43,8.6,7.02253913577348,9.515386691294413,3.7475364352422518,1.1819437355912268,-0.05237631261040192,1.3688286585557865,1,5,-14.752954264166227
44,8.8,6.826389978813681,9.379475280395818,3.6985136693453713,1.193172277884535,-0.24511382948440194,1.6344643024060366,1,5,-16.78359227564704
45,9.0,6.629675851839764,9.256987578618116,3.631825678044313,1.1586596225584704,-0.33343995650529057,1.866971716586223,1,5,-16.121712167855836
46,9.2,6.425400507330106,9.1479683797878,3.560058468957457,1.15773056114261,-0.358836045434282,2.078631730733993,1,5,-16.033696728154418
