step,time,x,y,theta,v,omega,s_progress,active_segment,remaining_tasks,cost
0,0.0,10.512678168729657,4.3364763823572225,2.2841856567679732,1.1985434302479612,0.5169332862083287,0.28439071339191624,0,5,-16.20474201843665
1,0.2,10.36538977341483,4.506665563553383,2.3226133801251088,1.1253691482202242,0.19213861678567845,0.4525676666744537,0,5,-13.945214711920972
2,0.4,10.214723758809086,4.667806333847688,2.410470036769492,1.103025337517454,0.43928328322191695,0.6748649856068596,0,5,-15.163506149925949
3,0.6,10.037640640603792,4.826639488745813,2.699338824674159,1.1893948235153198,1.4443439395233366,0.918606428872488,0,5,-15.142572734926857
4,0.8,9.820731191468454,4.929354097618182,2.75623362709279,1.2,0.2844740120931548,1.1503216228555102,0,5,-15.396098788647814
5,1.0,9.598331942525423,5.019568143473448,2.9555836971041867,1.2,0.9967503500569841,1.4129987117322207,0,5,-17.15320129373594
6,1.2,9.36247190501281,5.0639533065862405,3.185788618564775,1.2,1.1510246073029418,1.6943997766076004,0,5,-16.945313990143273
7,1.4,9.171101916043789,5.0554900141361525,3.3505492116971203,0.9577852055275704,0.8238029656617251,1.9521982706695151,0,5,-15.757663184866653
8,1.6,8.93632242051147,5.005704589787353,3.71054921169712,1.2,1.8,2.1870134184206567,0,5,-13.910657150535968
9,1.8,8.734131158568813,4.876403802496494,3.767639915608812,1.2,0.28545351955845827,2.4509199013620866,0,5,-15.517758797099159
10,2.0,8.539647176628609,4.735776704223498,3.8044221302287973,1.2,0.18391107309992752,2.699474690325208,0,5,-13.819700418414843
11,2.2,8.350466151422964,4.588092785998996,3.8225759015940692,1.2,0.09076885682636066,2.9610189560048035,0,5,-11.876938310521775
12,2.4,8.176471430292155,4.447106795457034,3.828085228206374,1.1197233197366874,0.02754663306152451,3.197130790228555,0,5,-9.210724581286655
13,2.6,8.01028834134103,4.310926984821998,3.796963980451891,1.0742643980642315,-0.15560623877241428,3.3389839265385377,0,5,-6.35382800182952
14,2.8,7.832521209739087,4.17427477661443,3.8378199769865047,1.1211041330535148,0.20427998267306827,0.0,1,4,-5.01688309090603
15,3.0,7.859782177739116,4.197061117814726,3.482763065728179,-0.17764977635750784,-1.7752845562916277,0.0,1,4,-2.5716602086097504
16,3.2,7.936365827232879,4.224252471082484,3.1227630657281793,-0.40633806929438493,-1.8,0.0,1,4,-5.747775632597233
17,3.4,7.814644447483333,4.226544705409994,2.789028665224296,0.6087148065051755,-1.6686720025194162,0.0,1,4,-10.116624387671658
18,3.6,7.689819881032567,4.272472263475962,2.4398955192359124,0.6650284388566547,-1.7456657299419183,0.2093483698413293,1,4,-14.06730473419991
19,3.8,7.530545400036245,4.407090051732157,2.2109926237489206,1.0427165148260267,-1.1445144774349598,0.4010357717045313,1,4,-14.648414945919129
20,4.0,7.395522509891707,4.588365577039629,2.1386682214961756,1.130176943430583,-0.3616220112637241,0.5761399238126561,1,4,-13.812490738804149
21,4.2,7.266441108081535,4.79069696784867,2.0670669124795222,1.2,-0.35800654508326685,0.880879437617155,1,4,-15.782722963554285
22,4.4,7.152165265719989,5.001744431355245,2.107665346373941,1.2,0.20299216947209456,1.1321179760713753,1,4,-15.02143500969584
23,4.6,7.029417744062278,5.207979845207691,2.1581551863289046,1.2,0.25244919977481867,1.3385525831169307,1,4,-14.28764286889682
24,4.8,6.896418275118928,5.407757574849378,2.3803188932479507,1.2,1.1108185345952295,1.5847923754955062,1,4,-15.69225381512861
25,5.0,6.722668378602407,5.573320171653421,2.6613781674629964,1.2,1.405296371075228,1.844695025663095,1,4,-14.917971640188691
26,5.2,6.509813372886297,5.684192830779081,2.845370052996663,1.2,0.9199594276683342,2.1327662125900213,1,4,-15.983870936045788
27,5.4,6.28880174824191,5.751646066141868,2.9879524554893777,1.1553795608896154,0.7129120124635745,2.3727869980391967,1,4,-15.309580925636201
28,5.6,6.0582897167696546,5.787343304804691,3.092599025625961,1.1662985199083524,0.5232328506829143,2.566408032018231,1,4,-14.93112957435682
29,5.8,5.823934077430474,5.798834433623034,3.158881708027768,1.173185958529122,0.3314134120090361,2.844595978939789,1,4,-15.580153528566099
30,6.0,5.583969945905405,5.794685267270651,3.196202780796066,1.2,0.1866053638414908,3.068910000533406,1,4,-14.857562081498635
31,6.2,5.359935323720821,5.782438531291966,3.2071811827056713,1.1218455160974834,0.054892009548025575,3.306695626557471,1,4,-15.148814168945368
32,6.4,5.120451361305968,5.766708567970921,3.1976661507335717,1.2,-0.047575159860498116,3.555931402796936,1,4,-15.410530432341504
33,6.6,4.890710646441922,5.7538126839125665,3.179279706294856,1.1505118414415576,-0.09193222219357745,3.7271052216264753,1,4,-15.41443888210597
34,6.8,4.650881063942951,5.74476993220916,3.159520569439809,1.2,-0.09879568427523565,3.9895286343335563,1,4,-16.824230122613848
35,7.0,4.410919632129924,5.740467462890029,3.1246569814241756,1.2,-0.1743179400781678,4.258666567913265,1,4,-14.58907193538979
36,7.2,4.170954049346296,5.744531829915022,3.132426073719057,1.2,0.03884546147440557,4.453732080714376,1,4,-14.838966761490111
37,7.4,3.9309641324180755,5.746731778274818,3.1422086906543694,1.2,0.04891308467656181,4.677393291691024,1,4,-14.199117497440453
38,7.6,3.690964177958274,5.746583929388672,3.1531561448947616,1.2,0.054737271201961125,4.943743898513115,1,4,-12.669384726578773
39,7.8,3.4509802234992186,5.743808753323246,3.163579127060864,1.2,0.052114910830511445,5.267071930487237,1,4,-9.917041225163329
40,8.0,3.2357179655023818,5.739075132621897,3.171638978390384,1.0765714895310137,0.04029925664759947,5.454617404930137,1,4,-5.639654435015776
41,8.2,3.077656578378895,5.734324539177068,3.1521490720446517,0.7906638071500229,-0.09744953172866143,0.0,2,3,-2.994273741870697
42,8.4,3.1925231493048583,5.735537163810715,3.510701963076102,-0.5743648573596629,1.7927644551572521,0.29598358559087967,2,3,7.988426182180349
43,8.6,3.285361372423964,5.771450593532113,3.868381888193352,-0.4977125200923372,1.78839962558625,0.29598358559087967,2,3,8.79262154773556
44,8.8,3.3502231176577735,5.829122536343187,4.220212052982932,-0.43396713534492953,1.7591508239478972,0.29598358559087967,2,3,4.839165945684363
45,9.0,3.4069285831874696,5.934879286383364,4.580212052982932,-0.5999999999999999,1.8,0.29598358559087967,2,3,0.038411985614496824
46,9.2,3.422743670227822,6.053832567220447,4.9402120529829325,-0.5999999999999999,1.8,0.29598358559087967,2,3,-4.102429745445123
47,9.4,3.435949764582218,5.996872490720236,5.300212052982933,0.292354717894512,1.8,0.5640405121080956,2,3,-8.81265395151212
48,9.6,3.533995139356221,5.849747206066371,5.645510358121497,0.8840071393808913,1.726491525692817,0.5640405121080956,2,3,-8.551245219153806
49,9.8,3.695453952486593,5.730116538148395,5.97687107090433,1.0047443088165433,1.6568035639141654,0.8066683626253489,2,3,-12.151662701383675
50,10.0,3.917535216018944,5.659879269959628,6.260926290003338,1.1646175493992268,1.4202760954950413,1.0263698787028055,2,3,-13.624330722990372
51,10.2,4.148119866890434,5.654745834416723,6.465549550094374,1.153208929227489,1.0231163004551773,1.2256351972745947,2,3,-13.214797477135676
52,10.4,4.366745402393369,5.695063250382584,6.697740885479673,1.1115599264559393,1.160956676926497,1.4069145849513198,2,3,-13.384118347126973
53,10.6,4.575665552871005,5.78700026195686,6.7640583110094274,1.1412716961005198,0.3315871276487719,1.5725802676231753,2,3,-14.290097575191774
54,10.8,4.788447500831761,5.898013065822118,6.907538438570225,1.2,0.71740063780399,1.8658721811183234,2,3,-14.948877595896452
55,11.0,4.983169444240278,6.038310481176823,6.946852751349056,1.2,0.1965715638941535,2.1209938428926813,2,3,-14.611586004771965
