step,time,x,y,theta,v,omega,s_progress,active_segment,remaining_tasks,cost
22,4.4,2.0704236834301875,6.541346186707183,1.9381876972360101,1.1412298803883674,0.4269182344410273,5.395943542482321,0,4,-15.365636992022838
23,4.6,1.984219977590684,6.765330385032726,2.0140206073757017,1.2,0.37916455069845756,5.708926858007108,0,4,-16.393412570733695
24,4.8,1.8879778067154418,6.968062673345926,2.0782917434945913,1.1220844016771405,0.3213556805944482,5.863401123160757,0,4,-14.33605214386359
25,5.0,1.7750784695242998,7.171091616708122,2.1341864478068517,1.1615400572189556,0.2794735215613028,6.1638901453507975,0,4,-15.022243529480791
26,5.2,1.6618578319734663,7.350328303043552,2.1801701602835535,1.0600082841176628,0.2299185623835079,6.3090578213547746,0,4,-13.817119374530552
27,5.4,1.5244928451683621,7.547129879256838,2.2198048456589388,1.2,0.19817342687692585,6.591878435154162,0,4,-16.162806665786235
28,5.6,1.3794376116475258,7.738333904392857,2.2458567771956264,1.2,0.1302596576834371,6.868431437305953,0,4,-15.77195318301387
29,5.8,1.2374343074130074,7.915721817354257,2.254708810384884,1.1361273044681468,0.044260165946287296,7.005545392193089,0,4,-13.927955479082891
30,6.0,1.0857950008213617,8.101747408863611,2.232273240680381,1.2,-0.11217784852251506,7.279483421742021,0,4,-17.070900310173972
31,6.2,0.9409008279937886,8.287873272428788,2.1821129536319273,1.1793765133246201,-0.2508014352422691,7.5556062423192865,0,4,-16.10070411828672
32,6.4,0.8049351139076801,8.481866005221335,2.0805621470289,1.1844814876483505,-0.5077540330151349,7.695499256426639,0,4,-15.669309885370225
33,6.6,0.6878216288530383,8.691352118408716,1.9389083176779818,1.2,-0.708269146754592,7.979634885693411,0,4,-17.441744013916335
34,6.8,0.6061842741665766,8.903016358572568,1.774061329026702,1.1343104540242108,-0.8242349432563987,8.267092561259185,0,4,-16.07146558932841
35,7.0,0.56318413910412,9.111641993154203,1.5903307644378712,1.0650547758211661,-0.9186528229441535,8.41512592878722,0,4,-14.43500384218363
36,7.2,0.5586907871856742,9.341634810979874,1.4071391321245692,1.1501835338637862,-0.9159581615665103,8.741295576922212,0,4,-16.116081191119363
37,7.4,0.5940869525536058,9.555982775157897,1.242019249992899,1.086254324157296,-0.8255994106583506,8.932731566083186,0,4,-13.630528004597673
38,7.6,0.6676311181229416,9.771554274928647,1.10258197570508,1.1388570564682376,-0.6971863714390952,9.1530949642573,0,4,-12.916688827087171
39,7.8,0.7730003008214579,9.97990843048659,0.9942294384167822,1.167412938946811,-0.5417626864414891,9.40986281128814,0,4,-11.301677735354227
40,8.0,0.8885193306460608,10.15755549014092,0.9187991778384293,1.0595178627027309,-0.3771513028917646,9.710122629650103,0,4,-8.584059486206941
41,8.2,0.98728393580136,10.286936828114946,0.8735697903275609,0.8138485400771924,-0.2261469375543424,9.710122629650103,0,4,-4.610621299614776
42,8.4,1.0892912393440946,10.408728112274723,0.8536919418485637,0.7943331617361059,-0.09938924239498617,0.0,1,3,-5.379746388960889
43,8.6,1.1854926681436648,10.51905619073949,0.49702502385537006,0.7318982135653614,-1.783334589965968,0.0,1,3,-9.856690952705522
44,8.8,1.3011306820097064,10.58178355715778,0.14868585243410093,0.6577779402780454,-1.7416958571063457,0.19903364312322167,1,3,-12.655982960472997
45,9.0,1.5254974674723512,10.615391753907472,-0.17106400887833967,1.1343496518667262,-1.598749306562203,0.3776288187443301,1,3,-12.826164161846911
46,9.2,1.7509204098263678,10.576449403271898,-0.4404376815867469,1.14380952973568,-1.346868363542036,0.5376376223623182,1,3,-12.601278688634109
47,9.4,1.9606839193050682,10.477584646765415,-0.5221774434865818,1.1594715389769934,-0.4086988094991747,0.8092391412896824,1,3,-14.662963506267193
48,9.6,2.159867562108867,10.362963082534145,-0.5732120124202387,1.149045544652326,-0.2551728446682843,1.0281552648184538,1,3,-14.35296343656804
49,9.8,2.3615067613922287,10.23280305290767,-0.740533918462406,1.2,-0.8366095302108368,1.2075201327413252,1,3,-13.968090811347487
50,10.0,2.538652786686104,10.070879349508255,-0.8785230702067816,1.2,-0.6899457587218776,1.4885639861025246,1,3,-15.426264144468915
51,10.2,2.677517509847208,9.903403979667946,-0.9689781477549748,1.0877891666329236,-0.45227538774096604,1.7054876145370363,1,3,-14.375483021544419
52,10.4,2.805102981274397,9.717638482224185,-1.1684440537863603,1.1267971485567612,-0.9973295301569279,1.9793636760330233,1,3,-14.77185193968641
53,10.6,2.8974375281802534,9.500671070917875,-1.1775676362084984,1.1789881903699422,-0.04561791211069046,2.2747945166782673,1,3,-15.519907741372997
54,10.8,2.9893989698166976,9.278988655620344,-1.2676748795255703,1.2,-0.45053621658536014,2.47809014117144,1,3,-15.765346096182173
55,11.0,3.0610391605217933,9.04993040303874,-1.3563669630630857,1.2,-0.4434604176875761,2.7491329088002163,1,3,-16.42408283483319
56,11.2,3.1077292005188926,8.835537028653434,-1.4149053090432335,1.0970925076679856,-0.29269172990073905,2.963717216114777,1,3,-13.743499247189789
57,11.4,3.144535858465976,8.601347684627308,-1.6140638497505626,1.1853204094739629,-0.9957927035366454,3.2272295268692575,1,3,-12.41367958818041
58,11.6,3.1372413778733796,8.43286269682267,-1.5876816140301515,0.843214097407123,0.13191117860205503,3.3644476390455726,1,3,-10.627442097364638
59,11.8,3.1341545818326075,8.250070267509685,-1.574048319193013,0.9140924532554173,0.06816647418569204,3.5329479153927714,1,3,-9.187412857589434
60,12.0,3.133628089720676,8.088172516373861,-1.613854118685331,0.8094930360537562,-0.19902899746159045,3.7420252727014343,1,3,-8.1157986054059
61,12.2,3.129297159340909,7.987650557809907,-1.6027680828973254,0.5030760656075688,0.05543017894002822,3.864686144148731,1,3,-6.0664267208691065
62,12.4,3.125576373869864,7.871312950781455,-1.5312766487447962,0.5819854605921886,0.3574571707626465,4.000979788716126,1,3,-5.677842138424257
63,12.6,3.132419520807796,7.698245143784712,-1.5339050337280986,0.8660152204014087,-0.013141924916512067,0.0,2,2,-4.564125051137946
64,12.8,3.1287132941358893,7.7986630164050625,-1.1754390714405698,-0.5024312206098571,1.7923298114376436,0.32556155410524346,2,2,0.9235179556500421
65,13.0,3.135868711156752,7.781517362732688,-0.8154390714405697,0.09289421841474486,1.8,0.32556155410524346,2,2,2.202963038190557
66,13.2,3.1611789678553652,7.754638835790406,-0.45543907144056966,0.18459850383580545,1.8,0.32556155410524346,2,2,-1.4772076411651751
67,13.4,3.1635676075007773,7.753468925380955,-0.09543907144056962,0.013298768478486711,1.8,0.32556155410524346,2,2,-4.898866019733953
68,13.6,3.372931279363764,7.733426561225267,0.26241779086994976,1.0516040540158356,1.7892843115525967,0.32556155410524346,2,2,-8.235457925261871
69,13.8,3.6021557938428646,7.794999040525359,0.5879931079801259,1.1867502711748121,1.627876585550881,0.6119543952915711,2,2,-12.246363285180765
70,14.0,3.801849128601294,7.928125191423888,0.8157663588052559,1.2,1.1388662541256498,0.8625689083269387,2,2,-12.974949653428073
71,14.2,3.966323646965404,8.102905432895554,0.8586823991068369,1.2,0.21458020150790444,1.0808295973466449,2,2,-13.045985350711128
72,14.4,4.123148151503095,8.28458117364403,0.6112426586565815,1.2,-1.237198702251277,1.2701964066293538,2,2,-13.530869317573343
73,14.6,4.319692673055884,8.422313708099711,0.5922564653390159,1.2,-0.09493096658782772,1.5762240731407886,2,2,-16.0203536247779
74,14.8,4.5188166303467385,8.556290010604407,0.43014768634316625,1.2,-0.8105438949792481,1.8084746309171358,2,2,-15.554643658760481
75,15.0,4.736953632019831,8.656371220134835,0.2884105986599781,1.2,-0.7086854384159408,2.0742777778343315,2,2,-16.460243805941243
76,15.2,4.967040949895464,8.724634139445374,0.12153653814546969,1.2,-0.834370302572542,2.356730451373559,2,2,-16.1038952145183
77,15.4,5.205270595071781,8.753731152336155,-0.07850330173166922,1.2,-1.0001991993856945,2.593716360936548,2,2,-13.954901560608196
78,15.6,5.444509388684071,8.734911440734365,-0.23868749094660938,1.1998893898380634,-0.8009209460747008,2.859702857773339,2,2,-15.2401587698438
79,15.8,5.658337043698421,8.682881604567244,-0.36358009554909143,1.1003336982537797,-0.6244630230124104,3.06266929480104,2,2,-15.466884249772178
80,16.0,5.860644208704307,8.605904597237428,-0.45347996875692953,1.0822851827288078,-0.44949936603919055,3.3131799929612167,2,2,-15.35715793159065
81,16.2,6.053037211214381,8.512141039718328,-0.5097088337440542,1.0701246671939533,-0.28114432493562336,3.520914552396934,2,2,-14.575917810796291
82,16.4,6.246191173726966,8.404172511687364,-0.5282397214686176,1.1064092402846037,-0.09265443862281718,3.7478368407744362,2,2,-15.058279664490783
83,16.6,6.453300607986147,8.283312793431705,-0.5194508958894309,1.198972364735686,0.04394412789593357,4.004550119849078,2,2,-15.415363006695525
84,16.8,6.661642661048476,8.164175943860407,-0.496425249065111,1.2,0.11512823412159978,4.226080011311853,2,2,-14.714025344477966
85,17.0,6.872672447742826,8.049867461551624,-0.41157951968896855,1.2,0.42422864688071205,4.507722660394598,2,2,-14.047999040199503
