step,time,x,y,theta,v,omega,s_progress,active_segment,remaining_tasks,cost
0,0.0,6.6480843905421665,3.3207938157479537,-1.4791008773009509,1.1826571104873322,-0.24318917640511759,0.0,0,5,-16.052504853970806
1,0.2,6.6700604721660275,3.0818020756470426,-1.5439436453562327,1.2,-0.3242138402764091,0.48928723585235506,0,5,-19.913700385508978
2,0.4,6.676504341236469,2.841888598427852,-1.6327226147185263,1.2,-0.44389484681146807,0.8944507959660188,0,5,-16.460506366139665
3,0.6,6.661651529472067,2.6023486352010634,-1.7546246524390816,1.2,-0.6095101886027763,0.8944507959660188,0,5,-13.957655603317562
4,0.8,6.6177807951527505,2.3663923708843813,-1.9088445121778976,1.2,-0.7710992986940803,1.2283979648360048,0,5,-17.18030843316932
5,1.0,6.538185664972753,2.1399754650411356,-2.098368747398908,1.2,-0.9476211761050524,1.5054449523350535,0,5,-15.326225615462937
6,1.2,6.417360707931337,1.93260784520636,-2.353248259795832,1.2,-1.2743975619846217,1.7412894323660126,0,5,-15.577865505452955
7,1.4,6.252566068267797,1.7668392873844594,-2.6032195312040414,1.1687224651749966,-1.249856357041045,1.9519653063841398,0,5,-15.87327493722481
8,1.6,6.046750870110889,1.6439222657635983,-2.838366209086633,1.1986293213136208,-1.1757333894129591,2.1514639708943437,0,5,-16.097898577571552
9,1.8,5.817700140813745,1.5722580249705347,-3.0483110300632954,1.2,-1.049724104883312,2.5495779065336013,0,5,-17.273061609542694
10,2.0,5.583824780322238,1.550378252799523,-3.221318737624936,1.1744829572548923,-0.865038537808203,2.75217208026322,0,5,-13.908362766735989
11,2.2,5.344587126205952,1.5694922490571475,-3.3862748227542294,1.2,-0.8247804256464668,2.9537768460739664,0,5,-14.475231367554441
12,2.4,5.143394251108708,1.619727091774959,-3.513658661897708,1.036847534751113,-0.6369191957173946,3.149177099162514,0,5,-14.691160907598285
13,2.6,4.928715312447598,1.7035038055319247,-3.632290709779055,1.1522324469543572,-0.5931602394067332,3.334422109407846,0,5,-15.651198894174703
